,budget,date,domesticgross,name,worldwidegross
0,"$275,000,000",07/02/2013,"$89,302,115",The Lone Ranger,"$260,002,115"
1,"$250,000,000",12/13/2013,"$258,366,855",The Hobbit: The Desolation of Smaug,"$960,366,855"
2,"$225,000,000",6/14/2013,"$291,045,518",Man of Steel,"$667,999,518"
3,"$200,000,000",05/03/2013,"$408,992,272",Iron Man 3,"$1,215,392,272"
4,"$200,000,000",6/21/2013,"$268,488,329",Monsters University,"$743,588,329"
5,"$200,000,000",03/08/2013,"$234,770,996",Oz the Great and Powerful,"$490,359,051"
6,"$195,000,000",03/01/2013,"$65,187,603",Jack the Giant Slayer,"$197,687,603"
7,"$190,000,000",5/16/2013,"$228,778,661",Star Trek Into Darkness,"$467,381,584"
8,"$190,000,000",6/21/2013,"$202,359,711",World War Z,"$531,514,650"
9,"$190,000,000",05/10/2013,"$144,840,419",The Great Gatsby,"$351,040,419"
10,"$190,000,000",07/12/2013,"$101,802,906",Pacific Rim,"$411,002,906"
11,"$175,000,000",12/25/2013,"$38,362,475",47 Ronin,"$151,716,815"
12,"$160,000,000",5/24/2013,"$238,679,850",Fast and Furious 6,"$789,300,444"
13,"$150,000,000",11/22/2013,"$400,738,009",Frozen,"$1,274,234,980"
14,"$150,000,000",11/08/2013,"$206,362,140",Thor: The Dark World,"$644,602,516"
15,"$150,000,000",6/28/2013,"$73,103,784",White House Down,"$205,440,387"
16,"$140,000,000",3/27/2013,"$122,523,060",G.I. Joe: Retaliation,"$375,740,705"
17,"$135,000,000",3/22/2013,"$187,168,425",The Croods,"$573,068,425"
18,"$135,000,000",7/17/2013,"$83,028,130",Turbo,"$286,896,578"
19,"$130,000,000",11/22/2013,"$424,668,047",The Hunger Games: Catching Fire,"$864,868,047"
20,"$130,000,000",5/31/2013,"$60,522,097",After Earth,"$251,499,665"
21,"$130,000,000",7/19/2013,"$33,618,855",R.I.P.D.,"$79,076,678"
22,"$120,000,000",08/09/2013,"$93,050,117",Elysium,"$286,192,091"
23,"$120,000,000",4/19/2013,"$89,107,235",Oblivion,"$287,916,633"
24,"$115,000,000",7/26/2013,"$132,556,852",The Wolverine,"$416,456,852"
25,"$110,000,000",10/04/2013,"$274,092,705",Gravity,"$695,941,797"
